Time,data
1719349746.566835,-0.6169241585760229
1719349746.6076143,-0.6169241585760229
1719349746.6470296,-0.6537029075113613
1719349746.6867657,-0.6641059648452677
1719349746.7268393,-0.6641059648452677
1719349746.7668233,-0.6334616555186805
1719349746.8069623,-0.6426420611648878
1719349746.8468554,-0.6535338538773376
1719349746.8868868,-0.6772602667508657
1719349746.9269278,-0.6892031368745936
1719349746.9668522,-0.6958477036242109
1719349747.0069504,-0.7049254863390941
1719349747.046879,-0.7019539075649393
1719349747.0908022,-0.7107659937539836
1719349747.1304078,-0.7141635748643093
1719349747.1701355,-0.6979365154217281
1719349747.2108784,-0.6997948064447614
1719349747.2505612,-0.7029952858244616
1719349747.2900069,-0.7112449667001632
1719349747.330055,-0.7117990873529809
1719349747.3700094,-0.7129115213347729
1719349747.4109297,-0.71332966452732
1719349747.4506648,-0.7153024307887458
1719349747.490128,-0.7153024307887458
1719349747.530168,-0.7207997375810226
1719349747.5699937,-0.7208636654874271
1719349747.6095383,-0.7208636654874271
1719349747.6496491,-0.7209748704682124
1719349747.6893914,-0.7213693238320703
1719349747.729927,-0.7205811475585481
1719349747.7708817,-0.7198801307575352
1719349747.8099668,-0.7180710637678055
1719349747.8492568,-0.7167641061813795
1719349747.8899314,-0.7143305543796824
1719349747.9302237,-0.7146017172376136
1719349747.9705544,-0.7103821258837302
1719349748.0099354,-0.7092273967696157
1719349748.0504737,-0.7118190337831833
1719349748.0927951,-0.7118208758696015
1719349748.1294138,-0.7055510356862706
1719349748.1698375,-0.6996181335240439
1719349748.2102115,-0.6985505826526197
1719349748.250542,-0.686502803537277
1719349748.2905083,-0.686502803537277
1719349748.3304193,-0.6776053392212151
1719349748.3700533,-0.6701375107985472
1719349748.4097748,-0.6581465558902645
1719349748.449585,-0.6601940002618052
1719349748.4891937,-0.6518023501122892
1719349748.5299525,-0.6368660049616185
1719349748.5699317,-0.6238535332183641
1719349748.6099348,-0.5999354709448455
1719349748.650036,-0.5999354709448455
1719349748.6899405,-0.5921575093918878
1719349748.7299047,-0.5729897003494933
1719349748.770438,-0.5521527893966647
1719349748.8103776,-0.5449903811345478
1719349748.8495827,-0.5340660499666906
1719349748.889188,-0.5110874264432331
1719349748.929873,-0.5110874264432331
1719349748.969863,-0.4805370548286976
1719349749.0109951,-0.4805370548286976
1719349749.0502343,-0.46406241871435644
1719349749.0904274,-0.3871623119267325
1719349749.1291094,-0.36111163779132255
1719349749.1691942,-0.34341334856069466
1719349749.2100148,-0.3890898003681774
1719349749.2503004,-0.3488896507051658
1719349749.293169,-0.3488896507051658
1719349749.3290744,-0.3123130215727936
1719349749.369197,-0.3123130215727936
1719349749.4100695,-0.30460697980850776
1719349749.4517865,-0.2811944802013861
1719349749.4901772,-0.25423826756872075
1719349749.5301049,-0.2463316056476385
1719349749.5698724,-0.2304809590708175
1719349749.6102052,-0.21720753018952854
1719349749.6499074,-0.21720753018952854
1719349749.689938,-0.18601723644384982
1719349749.7301114,-0.17018197472156799
1719349749.7697542,-0.14346628480792883
1719349749.8097856,-0.13639451479610076
1719349749.850218,-0.11790364894129368
1719349749.890203,-0.1021601561676081
1719349749.9301982,-0.1021601561676081
1719349749.9710193,-0.07740311707265479
