Time,data
1719349880.7601638,0.09039469324119197
1719349880.8003678,0.06928286077125716
1719349880.8403313,0.0505035608352233
1719349880.879972,0.03486969420666304
1719349880.9200873,0.023060539279797624
1719349880.9600184,0.01466145433684366
1719349881.0001652,0.008942917566347065
1719349881.0413184,0.005167950537967533
1719349881.0803175,0.002810578347009038
1719349881.1202977,0.0014030907248611076
1719349881.1603763,0.0006260073072908285
1719349881.200043,0.0002343368920744425
1719349881.2404673,6.717772072636726e-05
1719349881.2799554,1.2210700687572673e-05
1719349881.319977,8.474531378863831e-07
1719349881.3650026,1.5340469180978732e-09
1719349881.405243,-2.9743354897619714e-08
1719349881.443714,-3.694783785755414e-06
1719349881.4831972,-3.843557670059717e-05
1719349881.523132,-0.00017925085994458512
1719349881.563355,-0.000558589860220671
1719349881.6038694,-0.001386643568990064
1719349881.6441753,-0.002909278385655905
1719349881.6835265,-0.005478189278480348
1719349881.7233195,-0.009498806709174601
1719349881.7630043,-0.015570474810275197
1719349881.8026123,-0.024322577373552028
1719349881.843427,-0.03612751154756767
1719349881.8836374,-0.05139196741372536
1719349881.9246151,-0.06946879574680484
1719349881.964272,-0.08995759287991116
1719349882.004825,-0.11164519677974896
1719349882.0440223,-0.1343760685503909
1719349882.084185,-0.15747497233885752
1719349882.1248019,-0.1811926762279924
1719349882.1640944,-0.20512840619798628
1719349882.204921,-0.228906505486716
1719349882.2434509,-0.25332058470802366
1719349882.2841256,-0.27825777286888626
1719349882.3259056,-0.3023072787235547
1719349882.3649418,-0.32651079337808586
1719349882.403137,-0.35075607688810495
1719349882.4444292,-0.3749227930980501
1719349882.4844882,-0.39887898032409735
1719349882.524692,-0.4242131477112163
1719349882.5635862,-0.44921857502074103
1719349882.6029058,-0.47372153322384986
1719349882.6448927,-0.49753112607633737
1719349882.684672,-0.5225785148830796
1719349882.7240021,-0.5467106667895201
1719349882.7625628,-0.5720486954554704
1719349882.8028193,-0.5962038954225451
1719349882.8459785,-0.6214993464175127
1719349882.8852499,-0.6453021005397266
1719349882.9257689,-0.6701469671347066
1719349882.9638658,-0.6960947189309797
1719349883.0046406,-0.705
1719349883.0442514,-0.7049999999912255
1719349883.0833027,-0.704999999632073
1719349883.1231673,-0.7049999963892275
1719349883.163957,-0.7049999805803961
1719349883.2036848,-0.7049999317719892
1719349883.2432313,-0.7049997993829112
1719349883.2832413,-0.7049994491121766
1719349883.3233223,-0.7049986568507021
1719349883.363141,-0.7049970112945693
1719349883.4037776,-0.7049935802531514
1719349883.4439957,-0.7049867061001766
1719349883.4848208,-0.7049734482027885
1719349883.5238578,-0.7049487759278502
1719349883.5633655,-0.7049022641688847
1719349883.6034694,-0.7048200315204153
1719349883.6441257,-0.704684566243349
1719349883.6837246,-0.7044612209305527
1719349883.7247956,-0.7041139338333879
1719349883.7637,-0.7035891689587396
1719349883.8033915,-0.7027901892758168
1719349883.8425598,-0.7016307775257509
1719349883.8829117,-0.6999410084122579
1719349883.922866,-0.697595249478553
1719349883.9638307,-0.6942512395258019
1719349884.004328,-0.6895790037660618
1719349884.0449824,-0.6830531146495541
1719349884.0855746,-0.6739742448270327
1719349884.1254547,-0.6614717086112928
1719349884.1636794,-0.6448410259306632
1719349884.2027216,-0.6245057806306421
1719349884.2433877,-0.6019646415446883
1719349884.2835112,-0.5786055275144439
1719349884.323663,-0.5547700923306124
1719349884.3630605,-0.5309595015625378
1719349884.4028893,-0.507122866292519
1719349884.4461162,-0.48305779845904956
1719349884.4831522,-0.45923531514227195
1719349884.5235066,-0.4352623260016113
1719349884.564467,-0.41145507694455125
1719349884.603584,-0.38768167658930885
1719349884.6434371,-0.3637705992974646
1719349884.6832602,-0.3399794653915909
1719349884.7233663,-0.3157737347853754
1719349884.7632995,-0.2915589509239073
1719349884.802823,-0.26741225283593656
1719349884.8454893,-0.2434955378236773
1719349884.8848228,-0.2195390319633171
1719349884.9247735,-0.19581802291156458
1719349884.9637628,-0.17216019541342698
1719349885.003041,-0.14845948545124085
1719349885.043424,-0.12519400595943955
1719349885.0832644,-0.10246798945823035
1719349885.124782,-0.08057959876667309
1719349885.1648226,-0.06071518844372475
1719349885.2031698,-0.0435071266778284
1719349885.2436712,-0.029581853865008795
1719349885.287914,-0.019219085383033206
1719349885.323401,-0.0119859835996319
1719349885.3635879,-0.007093270920811336
1719349885.4041216,-0.0039620191848054424
1719349885.4437337,-0.0020444298155223666
1719349885.4837725,-0.0009533761234679312
1719349885.5245836,-0.00038035982322111593
1719349885.5649965,-0.00012047288847031923
1719349885.6024883,-2.61707745403765e-05
1719349885.643838,-2.7367817105997062e-06
1719349885.6833599,-3.5503804579681035e-08
1719349885.7232392,2.8658271446657615e-10
1719349885.7626345,5.908569566411926e-07
1719349885.8041248,1.0636934859913963e-05
1719349885.8445873,6.396176411069333e-05
1719349885.884645,0.0002294521861218675
1719349885.9243505,0.000623787267813155
1719349885.963229,0.001414972508571279
1719349886.0035524,0.0028596094825352534
1719349886.0441854,0.005294536868496791
1719349886.0833464,0.009125646483702987
1719349886.1232412,0.015036604917962968
1719349886.1652136,0.023550546400718034
1719349886.202429,0.03544638210469291
1719349886.2439024,0.05105594498977757
1719349886.28375,0.06991877529954016
1719349886.3233433,0.0908407681672284
1719349886.363913,0.11341077772810863
1719349886.4031625,0.1364323481881197
1719349886.4433284,0.16013949871787792
1719349886.485003,0.18401247095327283
1719349886.5233426,0.20810019904598612
1719349886.562509,0.23204433401254693
1719349886.602428,0.25605138229714863
1719349886.6445758,0.2799185292594901
1719349886.6842268,0.30397709923899513
1719349886.7236598,0.3281532885810151
1719349886.7662942,0.35203706432980697
1719349886.803591,0.37615516559939693
1719349886.8436222,0.4002337274254935
1719349886.8837721,0.4240254569493189
1719349886.9236794,0.44804835095465106
1719349886.9644127,0.4719546420815118
1719349887.003137,0.49573164068914505
1719349887.0433593,0.5196842110646871
1719349887.0854442,0.5436276737432301
1719349887.1244307,0.5676386335099385
1719349887.164388,0.5912474802761477
1719349887.2037363,0.6144755271480138
1719349887.2433712,0.6363798137024778
1719349887.2833996,0.6552254749332844
1719349887.3232412,0.6699767840600713
1719349887.3655806,0.6804985901019142
1719349887.402926,0.6875792657461697
1719349887.4431388,0.6923123734422354
1719349887.483256,0.6954492682100533
1719349887.5237875,0.6974298299334852
1719349887.5639129,0.6986553741384101
