Time,data
1719349880.760132,0.33236643613838107
1719349880.8003576,0.3422511184798628
1719349880.8402853,0.3338913863895958
1719349880.879927,0.3051339581990165
1719349880.9200778,0.2817752219342179
1719349880.9600132,0.26499269285159466
1719349881.0001545,0.24648706852394542
1719349881.0409102,0.24648706852394542
1719349881.0802958,0.21594441593774083
1719349881.120194,0.18338489900885357
1719349881.160357,0.17210258118690214
1719349881.1999679,0.18279721830351892
1719349881.2404392,0.1246903257388714
1719349881.2799435,0.09967790665675275
1719349881.3199666,0.08555766725253439
1719349881.364645,0.07223185371983831
1719349881.4052255,0.07223185371983831
1719349881.4434,0.022688229908677915
1719349881.4830778,-0.0068213310976538155
1719349881.523042,-0.06117400672642903
1719349881.5633368,-0.053689150192081536
1719349881.6037982,-0.06354556880710721
1719349881.6441576,-0.09058139809899135
1719349881.6832802,-0.12986873404204496
1719349881.7232633,-0.15175933974439218
1719349881.7629857,-0.17747439843324692
1719349881.8025956,-0.21372593762385392
1719349881.8434064,-0.21361285319814483
1719349881.8831644,-0.2340173393478533
1719349881.9240859,-0.25467362858861203
1719349881.964115,-0.35939176109651244
1719349882.0046551,-0.35939176109651244
1719349882.0436625,-0.39089604587227555
1719349882.083503,-0.36338769121391123
1719349882.124507,-0.3519119581208258
1719349882.1637444,-0.37514743553153956
1719349882.204971,-0.3892614484305642
1719349882.2432504,-0.44820588937182043
1719349882.2841074,-0.45081107387519304
1719349882.3256261,-0.45528645825774655
1719349882.364859,-0.429526517367482
1719349882.403034,-0.4312538827731532
1719349882.444143,-0.4312538827731532
1719349882.4844644,-0.4330327167961209
1719349882.5246,-0.4299976018574955
1719349882.5635657,-0.4299976018574955
1719349882.6028295,-0.431548445972392
1719349882.6444087,-0.42675894695064415
1719349882.6842973,-0.4189923224645349
1719349882.7234962,-0.4175347574298971
1719349882.7625442,-0.4113418516305395
1719349882.8027363,-0.4037285614934658
1719349882.8457685,-0.4037285614934658
1719349882.8851228,-0.3568761370648951
1719349882.9244123,-0.3453831446518112
1719349882.9636736,-0.3263040308052966
1719349883.0045557,-0.3579394266088044
1719349883.0441797,-0.34459208449281453
1719349883.083122,-0.32789060940816295
1719349883.123094,-0.28238300639826547
1719349883.1639307,-0.28238300639826547
1719349883.2032065,-0.24192886925773058
1719349883.2430415,-0.16223760183726746
1719349883.283145,-0.16223760183726746
1719349883.3230212,-0.13998417158990334
1719349883.3630836,-0.16909086563048392
1719349883.4036684,-0.14849664138619462
1719349883.4435408,-0.12594140248071983
1719349883.484418,-0.11492571978028315
1719349883.5234587,-0.08812353474364448
1719349883.5627549,-0.05260446274556502
1719349883.6030898,-0.05260446274556502
1719349883.6436517,0.06267524492628024
1719349883.6833444,0.08723049451345377
1719349883.7246253,0.08723049451345377
1719349883.7634482,0.04942114494159022
1719349883.8031929,0.07374407289931317
1719349883.842534,0.10818000217564072
