Time,data
1719350152.2852376,-0.705
1719350152.324632,-0.7049999999912255
1719350152.36547,-0.704999999632073
1719350152.40503,-0.7049999963892275
1719350152.4446518,-0.7049999805803961
1719350152.485068,-0.7049999317719892
1719350152.5243099,-0.7049997993829112
1719350152.5646443,-0.7049994491121766
1719350152.6045747,-0.7049986568507021
1719350152.6444929,-0.7049970112945693
1719350152.6847553,-0.7049935802531514
1719350152.724401,-0.7049867061001766
1719350152.7646546,-0.7049734482027885
1719350152.8045015,-0.7049487759278502
1719350152.8476272,-0.7049022641688847
1719350152.888437,-0.7048200315204153
1719350152.9285219,-0.704684566243349
1719350152.9678793,-0.7044612209305527
1719350153.0075164,-0.7041139338333879
1719350153.0467002,-0.7035891689587396
1719350153.0884082,-0.7027901892758168
1719350153.1268966,-0.7016307775257509
1719350153.1671464,-0.6999410084122579
1719350153.2068565,-0.697595249478553
1719350153.2479188,-0.6942512395258019
1719350153.288348,-0.6895790037660618
1719350153.3280904,-0.6830531146495541
1719350153.3680327,-0.6739742448270327
1719350153.4076395,-0.6614717086112928
1719350153.448392,-0.6448410259306632
1719350153.4879584,-0.6245057806306421
1719350153.527491,-0.6019646415446883
1719350153.5677435,-0.5786055275144439
1719350153.606769,-0.5547700923306124
1719350153.6475787,-0.5309595015625378
1719350153.6883588,-0.507122866292519
1719350153.7281017,-0.48305779845904956
1719350153.767638,-0.45923531514227195
1719350153.8082595,-0.4352623260016113
1719350153.847476,-0.41145507694455125
1719350153.887952,-0.38768167658930885
1719350153.927411,-0.3637705992974646
1719350153.9671109,-0.3399794653915909
1719350154.0068462,-0.3157737347853754
1719350154.0477786,-0.2915589509239073
1719350154.0888147,-0.26741225283593656
1719350154.1282535,-0.2434955378236773
1719350154.1673365,-0.2195390319633171
1719350154.2068763,-0.19581802291156458
1719350154.2475803,-0.17216019541342698
1719350154.2877045,-0.14845948545124085
1719350154.3276541,-0.12519400595943955
1719350154.3679783,-0.10246798945823035
1719350154.407857,-0.08057959876667309
1719350154.4485579,-0.06071518844372475
1719350154.4879365,-0.0435071266778284
1719350154.527752,-0.029581853865008795
1719350154.5674562,-0.019219085383033206
1719350154.6075153,-0.0119859835996319
1719350154.6487975,-0.007093270920811336
1719350154.687865,-0.0039620191848054424
1719350154.7278109,-0.0020444298155223666
1719350154.7670124,-0.0009533761234679312
1719350154.8072824,-0.00038035982322111593
1719350154.8481722,-0.00012047288847031923
1719350154.8880937,-2.61707745403765e-05
1719350154.9278278,-2.7367817105997062e-06
1719350154.967165,-3.5503804579681035e-08
1719350155.0074973,2.8658271446657615e-10
1719350155.048423,5.908569566411926e-07
1719350155.0881467,1.0636934859913963e-05
1719350155.1280546,6.396176411069333e-05
1719350155.1672626,0.0002294521861218675
1719350155.207584,0.000623787267813155
1719350155.2499323,0.001414972508571279
1719350155.2878175,0.0028596094825352534
1719350155.3277662,0.005294536868496791
1719350155.3696518,0.009125646483702987
1719350155.4076862,0.015036604917962968
1719350155.4476745,0.023550546400718034
1719350155.4882183,0.03544638210469291
1719350155.52855,0.05105594498977757
1719350155.5668573,0.06991877529954016
1719350155.6068707,0.0908407681672284
1719350155.6478155,0.11341077772810863
1719350155.6881526,0.1364323481881197
1719350155.7283993,0.16013949871787792
1719350155.7677712,0.18401247095327283
1719350155.807663,0.20810019904598612
1719350155.8484092,0.23204433401254693
1719350155.8885875,0.25605138229714863
1719350155.927637,0.2799185292594901
1719350155.9676757,0.30397709923899513
1719350156.008282,0.3281532885810151
1719350156.0475903,0.35203706432980697
1719350156.087571,0.37615516559939693
1719350156.1276948,0.4002337274254935
1719350156.1684964,0.4240254569493189
1719350156.2082808,0.44804835095465106
1719350156.2484424,0.4719546420815118
1719350156.2880952,0.49573164068914505
